scenario,iteration,algorithm,fuzzer_type,vulnerabilities,vulnerability_count,is_critical,jain_fairness_index,throughput_5th_percentile_mbps,handover_count_iter,avg_transmission_time_ms,generation,handover_count,handover_rate,vulnerabilities_list,avg_sinr_db,sinr_5th_percentile_db,avg_throughput_mbps,load_std,has_ping_pong,has_qoe_violation,has_unfairness,is_critical_failure
Stable Mobility,7,Baseline,AI-Fuzzer,,0,,0.2595939074903967,11.915721607208251,,0.31653088331222534,,6.0,0.4,[],14.695104598999023,-0.861550587415695,70.14277648925781,0.09035079029052512,True,False,False,False
Stable Mobility,8,Baseline,AI-Fuzzer,,1,,0.14180673402023475,10.314299583435059,,0.4857677221298218,,5.0,0.3333333333333333,['Unfairness: Jain Index = 0.14'],9.197661399841309,-1.6397681832313538,48.20380783081055,0.05553287518900287,True,False,True,False
Stable Mobility,9,Baseline,AI-Fuzzer,,1,,0.30746578111219663,16.5249342918396,,0.349683552980423,,6.0,0.4,['Ping-Pong: 2 UEs oscillating'],13.485370635986328,1.090721368789673,65.5212631225586,0.12046772038736683,True,False,False,False
Stable Mobility,10,Baseline,AI-Fuzzer,,1,,0.2712971987074054,5.755759906768799,,0.6819543838500977,,7.0,0.4666666666666667,['Ping-Pong: 2 UEs oscillating'],12.140837669372559,-5.159121561050415,62.00695037841797,0.07499055118106487,True,False,False,False
Stable Mobility,11,Baseline,AI-Fuzzer,,1,,0.2090219287711086,6.137553310394288,,0.8408969640731812,,8.0,0.5333333333333333,['Ping-Pong: 4 UEs oscillating'],9.725738525390625,-5.12597165107727,52.67123031616211,0.10942024088643863,True,False,False,False
Stable Mobility,12,Baseline,AI-Fuzzer,,2,,0.1359330677587214,7.708482456207276,,0.6703309416770935,,7.0,0.4666666666666667,"['Ping-Pong: 3 UEs oscillating', 'Unfairness: Jain Index = 0.14']",7.776601791381836,-3.3521358966827393,44.00177764892578,0.07499055118106487,True,False,True,False
Stable Mobility,13,Baseline,AI-Fuzzer,,2,,0.1614050133088892,10.67232313156128,,0.7610877752304077,,7.0,0.4666666666666667,"['Ping-Pong: 3 UEs oscillating', 'Unfairness: Jain Index = 0.16']",10.24925708770752,-2.7702033281326286,53.76416015625,0.05553287518900287,True,False,True,False
Stable Mobility,14,Baseline,AI-Fuzzer,,2,,0.15198430542461977,12.323924446105957,,0.3573532998561859,,8.0,0.5333333333333333,"['Ping-Pong: 4 UEs oscillating', 'Unfairness: Jain Index = 0.15']",12.002076148986816,-0.7146024838089942,58.53151321411133,0.0659828879073858,True,False,True,False
Stable Mobility,15,Baseline,AI-Fuzzer,,2,,0.08183515490874274,8.808435726165772,,0.6093067526817322,,7.0,0.4666666666666667,"['Ping-Pong: 4 UEs oscillating', 'Unfairness: Jain Index = 0.08']",6.260646343231201,-2.5248090505599974,36.811744689941406,0.08302664654363189,True,False,True,False
Stable Mobility,16,Baseline,AI-Fuzzer,,2,,0.18573347480349475,11.907773399353028,,0.43470901250839233,,9.0,0.6,"['Ping-Pong: 3 UEs oscillating', 'Unfairness: Jain Index = 0.19']",11.236963272094727,-0.8211482942104339,56.65864562988281,0.042591770999996004,True,False,True,False
Stable Mobility,17,Baseline,AI-Fuzzer,,1,,0.18736266758074785,17.97287940979004,,0.3729320466518402,,7.0,0.4666666666666667,['Unfairness: Jain Index = 0.19'],11.399340629577637,1.4323400974273686,56.21739196777344,0.13058389715049606,True,False,True,False
Stable Mobility,18,Baseline,AI-Fuzzer,,1,,0.22566656420677364,9.23742413520813,,0.4000489115715027,,8.0,0.5333333333333333,['Ping-Pong: 4 UEs oscillating'],13.50281047821045,-2.304277634620666,65.95511627197266,0.023328473740792173,True,False,False,False
Stable Mobility,19,Baseline,AI-Fuzzer,,1,,0.3578450211619197,16.449564266204835,,0.2866845428943634,,8.0,0.5333333333333333,['Ping-Pong: 4 UEs oscillating'],15.81110668182373,1.1000893831253054,74.93600463867188,0.042591770999996004,True,False,False,False
Stable Mobility,20,Baseline,AI-Fuzzer,,2,,0.18200374216699006,10.361909103393554,,0.4754071533679962,,8.0,0.5333333333333333,"['Ping-Pong: 5 UEs oscillating', 'Unfairness: Jain Index = 0.18']",9.895785331726074,-1.6154885411262512,51.22383117675781,0.07499055118106486,True,False,True,False
Stable Mobility,21,Baseline,AI-Fuzzer,,1,,0.22197695643753956,18.086989879608154,,0.30738481879234314,,7.0,0.4666666666666667,['Ping-Pong: 4 UEs oscillating'],13.302000999450684,1.6322848081588748,63.738346099853516,0.08302664654363189,True,False,False,False
Stable Mobility,22,Baseline,AI-Fuzzer,,1,,0.20610504624481304,8.046249675750733,,0.7883208394050598,,7.0,0.4666666666666667,['Ping-Pong: 2 UEs oscillating'],11.406468391418457,-4.004147458076476,59.37675094604492,0.09035079029052513,True,False,False,False
Stable Mobility,23,Baseline,AI-Fuzzer,,2,,0.1490829488414396,9.734712886810303,,0.5907288193702698,,7.0,0.4666666666666667,"['Ping-Pong: 3 UEs oscillating', 'Unfairness: Jain Index = 0.15']",9.003243446350098,-2.5106855869293208,47.83183670043945,0.0659828879073858,True,False,True,False
Stable Mobility,24,Baseline,AI-Fuzzer,,2,,0.0886443696244521,9.743925857543946,,0.5157678723335266,,5.0,0.3333333333333333,"['Ping-Pong: 3 UEs oscillating', 'Unfairness: Jain Index = 0.09']",7.642922401428223,-1.9527554988861084,41.52444839477539,0.09712418121129114,True,False,True,False
Stable Mobility,25,Baseline,AI-Fuzzer,,2,,0.08374768520627539,8.015837860107423,,0.7484572529792786,,6.0,0.4,"['Ping-Pong: 3 UEs oscillating', 'Unfairness: Jain Index = 0.08']",5.317018032073975,-3.1728184700012205,34.4061164855957,0.055532875189002864,True,False,True,False
Stable Mobility,26,Baseline,AI-Fuzzer,,1,,0.2110050677099408,11.243593311309814,,0.45767682790756226,,7.0,0.4666666666666667,['Ping-Pong: 2 UEs oscillating'],10.190812110900879,-1.1868715167045591,52.243892669677734,0.042591770999996004,True,False,False,False
Stable Mobility,27,Baseline,AI-Fuzzer,,1,,0.21353816361773462,13.649415397644043,,0.3873141407966614,,8.0,0.5333333333333333,['Ping-Pong: 4 UEs oscillating'],11.607123374938965,-0.2557283163070676,57.21462631225586,0.10942024088643863,True,False,False,False
Stable Mobility,28,Baseline,AI-Fuzzer,,2,,0.10591734518121222,11.449280643463135,,0.5073561072349548,,9.0,0.6,"['Ping-Pong: 5 UEs oscillating', 'Unfairness: Jain Index = 0.11']",8.331783294677734,-1.045411878824234,44.67212677001953,0.055532875189002864,True,False,True,False
Stable Mobility,29,Baseline,AI-Fuzzer,,1,,0.2866306463867258,9.166058921813965,,0.7040555477142334,,10.0,0.6666666666666666,['Ping-Pong: 6 UEs oscillating'],7.168015480041504,-3.034206318855285,40.52872085571289,0.10942024088643862,True,False,False,False
Stable Mobility,30,Baseline,AI-Fuzzer,,1,,0.270405062994971,9.842708444595337,,0.5225607752799988,,10.0,0.6666666666666666,['Ping-Pong: 4 UEs oscillating'],11.588726997375488,-1.9368507623672484,59.67738723754883,0.0659828879073858,True,False,False,False
