scenario,iteration,algorithm,assignments,cell_loads,vulnerabilities
Low Load,59,utility,"[0, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 0, 1, 1, 1, 2, 1, 2, 2, 0, 0, 1, 0, 2, 1, 2, 1, 2]","[0.16666666666666666, 0.4, 0.43333333333333335]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.16']"
Low Load,60,utility,"[2, 1, 0, 2, 0, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 2]","[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.17']"
Low Load,61,utility,"[0, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 0, 2, 0, 1, 2, 2]","[0.2, 0.4, 0.4]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.28']"
Low Load,62,utility,"[0, 1, 2, 1, 0, 0, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 0, 2, 1, 1, 1, 0, 1, 1, 0, 0, 0]","[0.26666666666666666, 0.5333333333333333, 0.2]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,63,utility,"[1, 2, 2, 1, 2, 0, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 0, 2, 0, 1, 0, 0, 2, 2, 0, 0, 2]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.20']"
Low Load,64,utility,"[0, 0, 2, 2, 0, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 2, 1, 2, 0, 0, 0, 0]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 6 UEs', 'QoS Violation: Avg High Prio SINR = 4.50 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.30']"
Low Load,65,utility,"[2, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.24']"
Low Load,66,utility,"[2, 2, 0, 1, 1, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 2, 0, 2, 1, 0, 2, 1, 1, 0, 0, 0, 1, 0, 2, 0]","[0.3, 0.4, 0.3]","['Ping-Pong: 1 UEs', 'QoS Violation: Avg High Prio SINR = 4.99 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.12']"
Low Load,67,utility,"[2, 1, 0, 0, 0, 2, 2, 2, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1]","[0.43333333333333335, 0.3, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.16']"
Low Load,68,utility,"[2, 1, 1, 0, 0, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 0, 1, 1, 2, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0]","[0.23333333333333334, 0.4666666666666667, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,69,utility,"[2, 1, 0, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.22']"
Low Load,70,utility,"[2, 2, 0, 1, 1, 0, 2, 1, 0, 2, 2, 2, 2, 1, 1, 2, 2, 2, 0, 0, 1, 0, 1, 0, 2, 1, 1, 1, 0, 0]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.34']"
Low Load,71,utility,"[0, 2, 2, 2, 2, 0, 1, 2, 0, 2, 1, 2, 0, 2, 0, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 2, 1, 0, 2, 2]","[0.3333333333333333, 0.13333333333333333, 0.5333333333333333]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,72,utility,"[2, 0, 1, 2, 1, 0, 2, 1, 2, 1, 1, 0, 2, 2, 1, 1, 0, 0, 1, 0, 2, 1, 1, 1, 0, 1, 1, 0, 0, 0]","[0.3333333333333333, 0.43333333333333335, 0.23333333333333334]","['Ping-Pong: 10 UEs', 'QoS Violation: Avg High Prio SINR = 3.05 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.21']"
Low Load,73,utility,"[1, 1, 0, 1, 0, 0, 2, 2, 0, 2, 1, 2, 2, 1, 1, 1, 0, 2, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 2]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,74,utility,"[0, 1, 1, 1, 2, 0, 2, 1, 1, 2, 2, 2, 2, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 0, 0, 2, 1, 1, 0, 1]","[0.3, 0.4, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.06']"
Low Load,75,utility,"[2, 1, 0, 1, 0, 0, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 2, 1, 2, 2, 2, 1, 0, 0, 1, 1, 1, 2, 2]","[0.23333333333333334, 0.4666666666666667, 0.3]","['Ping-Pong: 7 UEs', 'QoS Violation: Avg High Prio SINR = 3.38 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.22']"
Low Load,76,utility,"[2, 1, 0, 1, 2, 0, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 0, 1, 1, 2, 2, 0, 0, 0, 0, 2, 1, 0, 2, 2]","[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.30']"
Low Load,77,utility,"[2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 0, 2, 1, 1, 1, 0, 2, 1, 0, 2, 1, 1, 0, 0, 2, 1, 1, 0, 2]","[0.2, 0.4666666666666667, 0.3333333333333333]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.19']"
Low Load,78,utility,"[0, 1, 0, 1, 2, 0, 2, 1, 2, 2, 1, 2, 2, 1, 1, 0, 0, 2, 2, 1, 2, 2, 0, 0, 0, 1, 1, 1, 0, 2]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.23']"
Low Load,79,utility,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 2, 1, 1, 2, 0, 2, 2, 1, 0, 0]","[0.23333333333333334, 0.26666666666666666, 0.5]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.19']"
Low Load,80,utility,"[0, 0, 0, 1, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1]","[0.3333333333333333, 0.16666666666666666, 0.5]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.39']"
Low Load,81,utility,"[0, 1, 2, 1, 1, 0, 2, 0, 2, 0, 2, 1, 0, 1, 2, 2, 1, 2, 0, 2, 2, 0, 1, 0, 0, 2, 1, 1, 0, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 7 UEs', 'QoS Violation: Avg High Prio SINR = 4.84 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.31']"
Low Load,82,utility,"[2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.26']"
Low Load,83,utility,"[2, 1, 2, 0, 1, 1, 2, 2, 2, 2, 2, 2, 1, 0, 1, 2, 0, 2, 0, 1, 2, 1, 0, 1, 0, 2, 0, 0, 2, 0]","[0.3, 0.26666666666666666, 0.43333333333333335]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.33']"
Low Load,84,utility,"[2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 1]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.11']"
Low Load,85,utility,"[2, 0, 0, 2, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 0, 2, 2, 0, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0]","[0.36666666666666664, 0.16666666666666666, 0.4666666666666667]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.14']"
Low Load,86,utility,"[2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 0, 2, 2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 2, 2, 1, 2, 2]","[0.2, 0.36666666666666664, 0.43333333333333335]","['Ping-Pong: 10 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,87,utility,"[1, 0, 2, 1, 0, 0, 2, 2, 2, 2, 2, 0, 2, 1, 2, 2, 1, 0, 0, 0, 2, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,88,utility,"[2, 1, 2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,89,utility,"[1, 1, 1, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2]","[0.3, 0.3, 0.4]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,90,utility,"[2, 1, 2, 1, 1, 1, 2, 1, 0, 2, 2, 0, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1, 2, 1]","[0.26666666666666666, 0.43333333333333335, 0.3]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,91,utility,"[2, 0, 2, 0, 2, 1, 2, 2, 2, 2, 2, 1, 1, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 0, 2]","[0.43333333333333335, 0.16666666666666666, 0.4]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.18']"
Low Load,92,utility,"[0, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 2, 1, 1, 0, 1]","[0.23333333333333334, 0.5666666666666667, 0.2]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.33']"
Low Load,93,utility,"[2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 1, 2, 2, 0, 1, 2, 2]","[0.16666666666666666, 0.4, 0.43333333333333335]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.33']"
Low Load,94,utility,"[1, 1, 2, 0, 2, 0, 2, 1, 1, 2, 2, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 1, 1, 0, 2]","[0.36666666666666664, 0.36666666666666664, 0.26666666666666666]","['Ping-Pong: 7 UEs', 'QoS Violation: Avg High Prio SINR = 4.55 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']"
Low Load,95,utility,"[2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 2]","[0.13333333333333333, 0.36666666666666664, 0.5]","['Ping-Pong: 9 UEs', 'Unfairness: Jain Index = 0.05']"
Low Load,96,utility,"[2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 0, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0]","[0.4, 0.4, 0.2]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.13']"
Low Load,97,utility,"[2, 2, 2, 1, 1, 0, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2]","[0.26666666666666666, 0.23333333333333334, 0.5]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,98,utility,"[2, 1, 2, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 1, 0, 0]","[0.23333333333333334, 0.6, 0.16666666666666666]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.12']"
Low Load,99,utility,"[0, 1, 0, 2, 2, 0, 1, 1, 1, 2, 0, 1, 2, 2, 0, 1, 2, 1, 0, 2, 0, 1, 0, 0, 2, 0, 1, 1, 0, 2]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.15']"
High Load,0,baseline,"[2, 2, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 0, 2, 2, 0, 1, 1, 1, 1, 1, 2, 2, 1]","[0.16666666666666666, 0.5, 0.3333333333333333]",['Unfairness: Jain Index = 0.04']
High Load,1,baseline,"[2, 2, 1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 2, 0, 1, 1, 2, 2, 1, 1, 1, 0]","[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]",['Unfairness: Jain Index = 0.22']
High Load,2,baseline,"[0, 2, 2, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 2, 1, 1, 2, 1, 0, 2, 2, 0, 1, 1, 2, 0, 1, 0, 2, 0]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.09']"
High Load,3,baseline,"[2, 2, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 0, 1, 2, 0, 1, 1, 0, 2, 1, 0, 2, 0]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.24']"
High Load,4,baseline,"[2, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 1, 2, 1, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 0]","[0.3333333333333333, 0.36666666666666664, 0.3]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.07']"
High Load,5,baseline,"[0, 2, 0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 2, 1, 2, 0, 0, 2, 2, 1, 2, 0, 0, 1, 0, 2, 1, 0, 1, 0]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 6 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,6,baseline,"[2, 1, 0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 2, 2, 2, 0, 0, 2, 2, 2, 2, 1, 1, 1, 0, 2, 1, 0, 1, 0]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'QoS Violation: Avg High Prio SINR = 3.90 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']"
High Load,7,baseline,"[2, 2, 0, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 1, 0, 0, 2, 2, 2, 1, 0, 0, 1, 0, 2, 1, 0, 1, 0]","[0.36666666666666664, 0.3, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.13']"
High Load,8,baseline,"[2, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 2, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 2, 1, 0, 2, 1]","[0.4, 0.3333333333333333, 0.26666666666666666]","['Ping-Pong: 6 UEs', 'QoS Violation: Avg High Prio SINR = 4.39 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.15']"
High Load,9,baseline,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 2, 1, 0, 1, 0, 1, 2, 0, 0, 1, 0, 2, 1, 0, 2, 0]","[0.43333333333333335, 0.36666666666666664, 0.2]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,10,baseline,"[2, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 2, 1, 2, 1, 2, 0, 0, 1, 2, 2, 1, 0, 2, 0]","[0.3, 0.3333333333333333, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.12']"
High Load,11,baseline,"[2, 2, 0, 2, 1, 0, 0, 0, 1, 2, 0, 1, 1, 2, 2, 0, 0, 1, 2, 2, 2, 0, 2, 1, 0, 2, 1, 0, 2, 1]","[0.3333333333333333, 0.26666666666666666, 0.4]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 4.75 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.29']"
High Load,12,baseline,"[2, 2, 0, 2, 1, 2, 0, 0, 1, 2, 1, 1, 1, 2, 2, 1, 0, 2, 1, 0, 2, 0, 1, 1, 0, 2, 1, 0, 1, 1]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'QoS Violation: Avg High Prio SINR = 4.79 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.22']"
High Load,13,baseline,"[2, 2, 0, 0, 1, 2, 2, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0, 1, 0, 2, 2, 1, 1, 1, 0, 2, 1, 2, 2, 2]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,14,baseline,"[2, 2, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 1, 0, 2, 2, 1, 2, 0, 1, 2, 0, 2, 1, 2, 0, 0]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.31']"
High Load,15,baseline,"[2, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 1, 2, 2, 0, 1, 1, 2, 2, 1, 2, 0, 0, 2, 1, 0, 1, 1, 0, 2]","[0.26666666666666666, 0.36666666666666664, 0.36666666666666664]","['Ping-Pong: 6 UEs', 'QoS Violation: Avg High Prio SINR = 4.18 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.34']"
High Load,16,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 2, 1, 2, 1, 1, 0, 2]","[0.26666666666666666, 0.3, 0.43333333333333335]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.11']"
High Load,17,baseline,"[2, 1, 0, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 2, 1, 2, 2, 2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 2, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,18,baseline,"[2, 1, 2, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 1, 1, 1, 1, 2, 0]","[0.3, 0.4, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.13']"
High Load,19,baseline,"[2, 1, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 1, 0, 1, 2, 2, 2]","[0.4, 0.16666666666666666, 0.43333333333333335]","['Ping-Pong: 7 UEs', 'Unfairness: Jain Index = 0.06']"
High Load,20,baseline,"[0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 2, 0, 2, 2, 2, 1, 1, 0, 1, 2, 1, 2, 1, 2, 2, 2]","[0.23333333333333334, 0.3333333333333333, 0.43333333333333335]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.06']"
High Load,21,baseline,"[2, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 0, 1, 2, 1, 2]","[0.2, 0.4, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.13']"
High Load,22,baseline,"[2, 1, 0, 0, 0, 2, 1, 0, 1, 0, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 2, 0, 1, 0, 0, 1, 0, 0, 2]","[0.4, 0.23333333333333334, 0.36666666666666664]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.10']"
High Load,23,baseline,"[2, 1, 0, 2, 2, 2, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 0, 2, 2, 1, 2, 1, 0, 2, 1, 2, 1, 0, 2, 2]","[0.26666666666666666, 0.3333333333333333, 0.4]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,24,baseline,"[2, 1, 0, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2]","[0.4, 0.2, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,25,baseline,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 1, 1, 2, 1, 2, 0, 1]","[0.4, 0.26666666666666666, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.10']"
High Load,26,baseline,"[1, 1, 1, 2, 0, 0, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 2, 2, 2, 1, 2, 0, 1, 1, 1, 2, 1, 2, 0, 2]","[0.26666666666666666, 0.4, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
High Load,27,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 0, 1, 2, 0, 0, 1, 2, 2, 1, 2, 0, 2]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.13']"
High Load,28,baseline,"[2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 2, 2, 2, 0, 2, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2]","[0.26666666666666666, 0.2, 0.5333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.08']"
High Load,29,baseline,"[2, 1, 0, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 0, 2, 2, 2, 2, 2, 0, 2, 0, 1, 1, 1, 2, 1, 2, 0, 0]","[0.36666666666666664, 0.2, 0.43333333333333335]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.24']"
High Load,30,baseline,"[2, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 2, 0, 1, 0, 2, 1, 0, 0, 2]","[0.4666666666666667, 0.16666666666666666, 0.36666666666666664]","['Ping-Pong: 8 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,31,baseline,"[2, 1, 1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 0, 0, 1, 1, 1, 2, 1, 2, 0, 1]","[0.3333333333333333, 0.36666666666666664, 0.3]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.12']"
High Load,32,baseline,"[2, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 0, 2]","[0.3, 0.3, 0.4]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.05']"
High Load,33,baseline,"[0, 1, 1, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 0, 0, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.20']"
High Load,34,baseline,"[2, 1, 1, 2, 2, 2, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 0, 0, 2]","[0.26666666666666666, 0.3, 0.43333333333333335]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.27']"
High Load,35,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 2, 1, 2, 2, 0, 1, 0, 2, 2, 2, 2, 2, 1, 0, 1, 2, 1, 2, 0, 2]","[0.3, 0.26666666666666666, 0.43333333333333335]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
High Load,36,baseline,"[2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0, 1, 2, 1, 2, 2, 2, 0, 2]","[0.36666666666666664, 0.16666666666666666, 0.4666666666666667]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.07']"
High Load,37,baseline,"[0, 1, 1, 0, 0, 2, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0]","[0.3333333333333333, 0.2, 0.4666666666666667]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.03']"
High Load,38,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 2, 1, 2, 0, 1]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 5 UEs', 'Unfairness: Jain Index = 0.10']"
High Load,39,baseline,"[2, 1, 1, 0, 0, 2, 0, 0, 1, 1, 1, 2, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1]","[0.3, 0.36666666666666664, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.05']"
