scenario,iteration,algorithm,assignments,cell_loads,vulnerabilities
Low Load,66,baseline,"[2, 2, 2, 0, 2, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 2, 2, 2, 0, 2, 1, 1, 2, 0, 1, 0, 1, 0]","[0.3, 0.36666666666666664, 0.3333333333333333]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.09']"
Low Load,67,baseline,"[2, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 1, 2, 2, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 0]","[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,68,baseline,"[2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 1, 2, 2, 0, 0, 2, 1, 2, 1, 0, 1, 2, 2, 0]","[0.36666666666666664, 0.3333333333333333, 0.3]","['Ping-Pong: 3 UEs', 'QoS Violation: Avg High Prio SINR = 2.71 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']"
Low Load,69,baseline,"[2, 1, 1, 0, 0, 2, 1, 2, 1, 0, 1, 1, 2, 2, 0, 0, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 1, 2, 1, 2]","[0.26666666666666666, 0.4, 0.3333333333333333]",['Unfairness: Jain Index = 0.10']
Low Load,70,baseline,"[2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 2, 2, 0, 0, 2, 2, 2, 1, 0, 2, 1, 0, 2, 2, 0, 2, 1, 0]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.04']"
Low Load,71,baseline,"[2, 0, 1, 1, 0, 2, 1, 2, 1, 0, 0, 0, 1, 2, 0, 0, 2, 2, 2, 2, 2, 2, 1, 0, 0, 2, 1, 2, 0, 2]","[0.3333333333333333, 0.23333333333333334, 0.43333333333333335]","['Ping-Pong: 4 UEs', 'QoS Violation: Avg High Prio SINR = 4.19 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.14']"
Low Load,72,baseline,"[2, 0, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 2, 2, 2, 2, 2, 1, 1, 0, 0, 2, 1, 1, 2]","[0.3333333333333333, 0.3, 0.36666666666666664]","['Ping-Pong: 5 UEs', 'QoS Violation: Avg High Prio SINR = 4.73 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.11']"
Low Load,73,baseline,"[2, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 2, 2, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 0, 0, 1, 2, 1, 2]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","['Ping-Pong: 4 UEs', 'Unfairness: Jain Index = 0.22']"
Low Load,74,baseline,"[2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 2, 2, 2, 0, 0, 2, 2, 1, 2, 2, 0, 1, 0, 1, 1, 0, 1, 1]","[0.3333333333333333, 0.36666666666666664, 0.3]",['Unfairness: Jain Index = 0.11']
Low Load,75,baseline,"[2, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 2, 2, 1, 0, 0, 2, 2, 1, 2, 2, 0, 1, 0, 2, 1, 0, 1, 1]","[0.3, 0.43333333333333335, 0.26666666666666666]","['Ping-Pong: 2 UEs', 'Unfairness: Jain Index = 0.17']"
Low Load,76,baseline,"[2, 1, 1, 1, 1, 2, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 0, 2, 2, 1, 2, 1, 1, 1, 0, 0, 1, 0, 1, 2]","[0.26666666666666666, 0.43333333333333335, 0.3]","['Ping-Pong: 1 UEs', 'Unfairness: Jain Index = 0.07']"
Low Load,77,baseline,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 0, 0, 1, 2, 1, 2, 0, 2, 0, 2, 2, 2, 2, 0, 1, 0, 1, 1, 2, 1, 1]","[0.2, 0.4666666666666667, 0.3333333333333333]","['Ping-Pong: 3 UEs', 'Unfairness: Jain Index = 0.15']"
