scenario,iteration,fuzzer_type,algorithm,handover_count_iter,handover_rate,vulnerability_count,vulnerability_severity,cascade_indicator,vulnerabilities,jain_fairness_index,load_efficiency,load_std,load_max,alpha_fairness_a1,alpha_fairness_a2,avg_sinr_db,sinr_5th_percentile_db,avg_high_prio_sinr,worst_high_prio_sinr,num_ues_below_qos,avg_throughput_mbps,throughput_5th_percentile_mbps,avg_transmission_time_ms,has_ping_pong,has_qoe_violation,has_unfairness
Low Load,0,Adaptive_AI,baseline,16,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -6.17 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.037625650435503546,0.9420820656916689,0.061478650764685026,0.23333333333333334,-30.373165130615234,-186.14588928222656,-4.3969655,-10.0,-6.1747284,-10.0,22,12.8652525,1.8810484409332275,4.048769362270832,False,True,True
Low Load,0,Adaptive_AI,utility,29,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -6.92 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.14']",0.13843330481266064,0.8480906157463941,0.17911928446456446,0.8,-55.02000045776367,-245.27247619628906,-7.9649606,-10.0,-6.915764,-10.0,28,4.7159295,1.8810484409332275,5.263195373117924,False,True,True
Low Load,0,Adaptive_AI,ml_based,29,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -5.99 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.044932596017448985,0.9372571023351605,0.06694310185382074,0.3,-55.18989944458008,-249.25189208984375,-7.9895554,-10.0,-5.992832,-10.0,29,5.2162113,1.8810484409332275,5.343273747712374,False,True,True
Low Load,0,Basic_AI,baseline,24,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -5.53 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']",0.037977053419599435,0.9438006056152812,0.059545834205182946,0.16666666666666666,-11.60451889038086,-123.9692611694336,-1.679926,-10.0,-5.533482,-10.0,18,17.328428,1.8810484409332275,2.7782495599240065,False,True,True
Low Load,0,Basic_AI,utility,29,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 4.93 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']",0.05717763404966756,0.9524438137657325,0.04993069989739546,0.16666666666666666,13.961761474609375,-64.86273956298828,2.021172,-8.856373023986816,4.934937,-6.402314,17,26.482555,2.4171275734901427,1.5601455233991146,False,True,True
Low Load,0,Basic_AI,ml_based,29,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -7.76 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']",0.07202814058424781,0.9524438137657325,0.04993069989739546,0.2,-61.401851654052734,-271.6304931640625,-8.888827,-10.0,-7.763681,-10.0,29,3.6329813,1.8810484409332275,5.80020435154438,False,True,True
Low Load,0,Strategic_Random,baseline,21,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 1.32 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.10']",0.09997175265826154,0.9664309532346281,0.03473506995302339,0.13333333333333333,21.71262550354004,-33.3714485168457,3.1432245,-3.615017592906952,1.3234752,-10.0,11,25.959642,7.1405967473983765,0.9201543289236724,False,True,True
Low Load,0,Strategic_Random,utility,23,0,1,1,0,['Unfairness: Jain Index = 0.06'],0.055999043835215666,0.9593945898369228,0.04232399326952568,0.16666666666666666,22.00941276550293,-36.75217056274414,3.1861887,-5.75544593334198,6.6808047,-5.8065386,12,27.511353,4.651203942298889,0.9876980911940336,False,False,True
Low Load,0,Strategic_Random,ml_based,25,0,2,3,0,"['QoS Violation: Avg High Prio SINR = -1.17 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']",0.048970329134069235,0.9569353720808719,0.045002650310107584,0.16666666666666666,-3.830608367919922,-99.12539672851562,-0.554537,-10.0,-1.1733346,-10.0,21,19.96276,1.8810484409332275,2.2704072762280703,False,True,True
Low Load,0,Naive_Random,baseline,19,0,2,3,0,"['QoS Violation: Avg High Prio SINR = 0.67 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']",0.07792140162338733,0.9697565448828662,0.031186647078300316,0.1,15.251609802246094,-58.7834587097168,2.207897,-10.0,0.6715917,-10.0,13,24.988037,1.8810484409332275,1.4379163039848208,False,True,True
