scenario,fuzzer_type,algorithm,avg_jain_fairness,std_jain_fairness,avg_ho_rate,std_ho_rate,avg_throughput_5th,std_throughput_5th,total_vulns,vulnerabilities,vuln_diversity
Interference-Heavy,Adaptive_AI,ml_based,0.0602813784152602,,54.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -3.90 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Interference-Heavy,Adaptive_AI,utility,0.0313183417444011,,60.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.24 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']]",2
Interference-Heavy,Basic_AI,baseline,0.0314718330819646,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.62 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']]",2
Interference-Heavy,Basic_AI,ml_based,0.0263873716832271,,47.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.22 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.03']]",2
Interference-Heavy,Basic_AI,utility,0.0605447658035867,,48.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -3.31 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Interference-Heavy,Naive_Random,baseline,0.0767064970247939,,20.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -4.67 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.08']]",2
Interference-Heavy,Naive_Random,ml_based,0.0708406908040371,,44.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.21 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
Interference-Heavy,Naive_Random,utility,0.0582252307361118,,44.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.81 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Interference-Heavy,Strategic_Random,baseline,0.0483288626450143,,20.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 0.75 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']]",2
Interference-Heavy,Strategic_Random,ml_based,0.06451664022377,,42.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -0.95 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Interference-Heavy,Strategic_Random,utility,0.061773361388256,,42.0,,2.400579237937927,,2,"[['QoS Violation: Avg High Prio SINR = 1.79 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.06']]",2
Low Load,Adaptive_AI,baseline,0.0464385439866484,,11.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -3.24 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']]",2
Low Load,Adaptive_AI,ml_based,0.0400956773567109,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -9.89 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.04']]",2
Low Load,Adaptive_AI,utility,0.1681086888753111,,22.0,,2.867838227748871,,2,"[['QoS Violation: Avg High Prio SINR = 3.02 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.17']]",2
Low Load,Basic_AI,baseline,0.0544152038776475,,12.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = 1.54 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.05']]",2
Low Load,Basic_AI,ml_based,0.0689978738638649,,26.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -2.92 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.07']]",2
Low Load,Basic_AI,utility,0.0921057592874732,,28.0,,1.8810484409332275,,2,"[['QoS Violation: Avg High Prio SINR = -3.46 dB (Threshold: 5.0 dB)', 'Unfairness: Jain Index = 0.09']]",2
Low Load,Naive_Random,baseline,0.2371030721886829,,15.0,,1.8810484409332275,,1,[['Unfairness: Jain Index = 0.24']],1
